epoch,train_loss,val_loss,val_wer,fusion_alpha,learning_rate,epoch_seconds,is_best
1,8.325135074829646,7.999984494674702,1.0,1.0,5.555555555555556e-05,38595.75333786011,True
2,6.876075834942962,8.09863205124421,1.0,1.0,7.777777777777778e-05,47205.65196847916,False
3,6.830108599677069,8.344135024057511,1.0,1.0,0.0001,45029.24693465233,False
4,6.760118833571047,8.441702676751424,1.0,1.0,9.966529870822618e-05,29892.367767333984,False
5,6.721002164050206,8.119952448379497,0.992068013497524,1.0,9.866572109370128e-05,13328.839959859848,True
6,6.616497459104809,8.284752285946514,0.9797171947353813,1.0,9.701478472890247e-05,13992.485637903214,True
7,6.515248517098252,8.382353902915387,0.9769928568298348,1.0,9.473481569600891e-05,14167.438098430634,True
8,6.648897664175859,8.127379634491582,0.9896358297909637,1.0,9.185664666494037e-05,13539.21455693245,False
9,6.611342223166968,8.147365377048526,0.9973487006442,1.0,8.841919993438942e-05,11479.209646701813,False
10,6.569420419568765,7.987512287245723,0.9933973151029113,1.0,8.446896107450232e-05,11424.511288642883,False
11,6.452384259944796,8.030614276251006,0.9763793330119637,1.0,8.005935028928792e-05,11808.772732496262,True
12,6.513544368698777,8.174720830905333,0.9786070087792337,1.0,7.525e-05,12273.97182559967,False
13,6.490934054683462,8.087850354809177,0.9973633083541493,1.0,7.010594841893825e-05,12236.754737854004,False
14,6.4607893738568425,7.994298210961822,0.9923747754064596,1.0,6.469676001919896e-05,11971.137612104416,False
15,6.517809589396815,7.906218419309522,0.9996421111062419,1.0,5.9095584794513056e-05,11813.821730613708,False
16,6.5080563017028945,7.920339547670805,0.9973852199190733,1.0,5.337816903106855e-05,11566.020505189896,False
